date,price_sll,sl_minimum_wages,fuel_price_liter,usd_price,exchange_rate,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,rqm,month,year,pop_region,region_eastern,region_north western,region_northern,region_southern,commodity_rice (imported),commodity_fish (bonga),commodity_oil (palm),period_quarterly,pandemics,season_encoded,km_from_city
2/15/2012,25000.0,600000,9000,0.2644,3.86285,236.67,200.133,815.0,804.0,2544.33,2215.97,117.81,101.3763,114.7516,2,2012,1335355,0,0,0,1,0,0,1,1,0,0,417
2/15/2012,40000.0,800000,30000,0.5964,4323.4038,244.52,247.714,598.264,630.0,1350.86,1466.85,98.736,95.1138,92.1466,2,2012,1313985,0,0,0,0,0,1,0,1,0,0,300
2/15/2012,40000.0,800000,30000,0.1674,3.86285,467.35,299.022,1123.333,867.0,1601.67,1350.61,155.252,129.1891,118.4517,2,2012,1335355,0,0,0,1,0,0,0,1,0,0,300
2/15/2012,45000.0,800000,19500,0.8324,3.86285,330.02,1.278,855.372,321.0,253.33,215.64,95.575,84.8057,116.7028,2,2012,1503377,1,0,0,0,0,0,0,1,0,0,300
2/15/2012,40000.0,800000,30000,0.4287,3.86285,257.33,267.978,1070.333,878.0,2126.33,1846.78,96.101,121.6759,115.056,2,2012,1335355,0,0,0,1,0,1,0,1,0,0,300
2/15/2012,40000.0,800000,30000,0.8372,3.86285,126.47,98.711,474.432,386.0,2301.33,2024.74,85.815,122.1879,113.5933,2,2012,889469,0,1,0,0,0,0,0,1,0,0,300
2/15/2012,40000.0,800000,30000,0.8142,4323.4038,180.37,185.933,607.288,564.0,1158.73,1293.1,97.088,107.4527,89.6887,2,2012,1313985,0,0,0,0,0,0,0,1,0,0,300
2/15/2012,40000.0,800000,30000,1.5414,3.86285,74.55,3.267,4.333,210.0,25.0,25.01,84.677,86.3454,99.9683,2,2012,1503377,1,0,0,0,0,0,1,1,0,0,300
2/15/2012,40000.0,800000,30000,7.2935,20966.0332,3.91,10.813,12.516,25.0,19.11,33.51,56.345,63.8318,66.8894,2,2012,889469,0,1,0,0,0,0,1,1,0,0,300
2/15/2012,2000.0,800000,4000,3.2225,4323.4038,55.39,49.605,82.84,113.0,124.09,182.48,110.597,75.6091,69.6676,2,2012,1381568,0,0,1,0,0,1,0,1,0,0,300
2/15/2012,2000.0,800000,4000,3.0829,3.86285,110.89,1.644,570.3,102.0,113.67,93.62,105.351,98.6688,119.3438,2,2012,1503377,1,0,0,0,0,1,0,1,0,0,300
2/15/2012,2000.0,800000,4000,3.0892,4323.4038,159.74,158.223,416.708,474.0,1503.52,1608.18,100.93,88.2417,93.5322,2,2012,1313985,0,0,0,0,0,0,1,1,0,0,300
2/15/2012,2000.0,800000,4000,2.1528,4323.4038,74.55,61.362,149.123,147.0,195.64,240.06,119.877,101.0909,82.2344,2,2012,1381568,0,0,1,0,0,0,1,1,0,0,300
2/15/2012,2000.0,800000,4000,0.8455,4323.4038,1.27,1.595,4.429,59.0,197.46,162.82,95.062,94.8311,120.0407,2,2012,1381568,0,0,1,0,0,0,0,1,0,0,300
2/15/2012,2000.0,800000,4000,2.3425,3.86285,1.94,2.561,17.824,16.0,439.82,336.88,91.805,105.1423,129.6768,2,2012,889469,0,1,0,0,0,1,0,1,0,0,300
3/15/2012,2000.0,800000,4000,2.3425,3.86285,1.94,2.561,17.824,16.0,439.82,336.88,91.805,105.1423,129.6768,3,2012,889469,0,1,0,0,0,1,0,1,0,0,300
3/15/2012,2000.0,800000,4000,3.2225,4323.4038,55.39,49.605,82.84,113.0,124.09,182.48,110.597,75.6091,69.6676,3,2012,1381568,0,0,1,0,0,1,0,1,0,0,300
