region,commodity,date,lag1,lag3,roll3_mean,price_sll_lead1,,
Eastern,Fish (bonga),2/1/2013,13333,14432,8.252834792,8.42916821,,
Eastern,Fish (bonga),3/1/2013,5000,8.517393171,9.028822011,8.50542016,,
Eastern,Fish (bonga),4/1/2013,13140,9.044926634,8.999413691,9.500079577,,
Eastern,Fish (bonga),5/1/2013,4632,9.524146228,8.819578199,9.391421994,,
Eastern,Fish (bonga),6/1/2013,10000,8.42916821,8.811555982,9.204083542,,
Eastern,Fish (bonga),7/1/2013,13685,8.50542016,9.132307244,9.207797574,,
Eastern,Fish (bonga),9/1/2013,4578,9.500079577,9.365195038,9.091853863,,
Eastern,Fish (bonga),10/1/2013,4940,9.391421994,9.267767703,9.2063012,,
Eastern,Fish (bonga),1/1/2014,13360,9.204083542,9.167911659,8.685308585,,
Eastern,Fish (bonga),2/1/2014,11984,9.207797574,9.168650879,8.925695279,,
Eastern,Fish (bonga),3/1/2014,12721,9.091853863,8.994487882,8.918685274,,
Eastern,Fish (bonga),4/1/2014,7762,9.2063012,8.939101688,9.255925417,,
Eastern,Fish (bonga),5/1/2014,15238,8.685308585,8.843229712,8.661546145,,
Eastern,Fish (bonga),6/1/2014,6528,8.925695279,9.033435323,8.399634131,,
Eastern,Fish (bonga),7/1/2014,12917,8.918685274,8.945385612,9.022676454,,
Eastern,Fish (bonga),8/1/2014,6107,9.255925417,8.772368564,8.217357563,,
Eastern,Fish (bonga),11/1/2014,13524,8.661546145,8.69461891,8.4393484,,
Eastern,Fish (bonga),12/1/2014,7333,8.399634131,8.546556049,9.210440367,,
Eastern,Fish (bonga),1/1/2015,4722,9.022676454,8.559794139,9.047505478,,
Eastern,Fish (bonga),2/1/2015,7407,8.217357563,8.62238211,9.057655284,,
Eastern,Fish (bonga),6/1/2016,12917,8.4393484,8.899098082,9.161655252,,
Eastern,Fish (bonga),7/1/2016,4380,9.210440367,9.105200376,9.188357708,,
Eastern,Fish (bonga),8/1/2016,11734,9.047505478,9.088938671,9.254112989,,
Eastern,Fish (bonga),9/1/2016,4439,9.057655284,9.135889415,9.082191199,,
Eastern,Fish (bonga),10/1/2016,8000,9.161655252,9.201375316,9.652202749,,
Eastern,Fish (bonga),11/1/2016,13690,9.188357708,9.174887298,9.584226341,,
Eastern,Fish (bonga),12/1/2016,8000,9.254112989,9.329502312,9.374636658,,
Eastern,Fish (bonga),1/1/2017,4503,9.082191199,9.439540096,9.633024391,,
Eastern,Fish (bonga),2/1/2017,7407,9.652202749,9.537021916,9.911966444,,
Eastern,Fish (bonga),3/1/2017,4444,9.584226341,9.53062913,9.809254243,,
Eastern,Fish (bonga),4/1/2017,13155,9.374636658,9.639875831,9.700316496,,
Eastern,Fish (bonga),5/1/2017,4327,9.633024391,9.784748359,9.700316496,,
Eastern,Fish (bonga),6/1/2017,10000,9.911966444,9.807179061,9.746704286,,
Eastern,Fish (bonga),7/1/2017,3704,9.809254243,9.736629078,9.780576721,,
Eastern,Fish (bonga),8/1/2017,4625,9.700316496,9.715779093,9.699896346,,
Eastern,Fish (bonga),9/1/2017,10000,9.700316496,9.742532501,9.605201448,,
Eastern,Fish (bonga),10/1/2017,13405,9.746704286,9.742392451,9.518412964,,
Eastern,Fish (bonga),11/1/2017,5719,9.780576721,9.695224838,9.728419624,,
Eastern,Fish (bonga),12/1/2017,8000,9.699896346,9.607836919,9.543557909,,
Eastern,Fish (bonga),1/1/2018,8583,9.605201448,9.617344679,9.420196029,,
Eastern,Fish (bonga),2/1/2018,9524,9.518412964,9.596796832,9.665357259,,
Eastern,Fish (bonga),3/1/2018,8611,9.728419624,9.564057854,9.698925564,,
Eastern,Fish (bonga),4/1/2018,11111,9.543557909,9.543037066,9.86271764,,
Eastern,Fish (bonga),5/1/2018,9000,9.420196029,9.594826284,9.929802964,,
Eastern,Fish (bonga),6/1/2018,10556,9.665357259,9.742333488,9.928140485,,
Eastern,Fish (bonga),7/1/2018,12000,9.698925564,9.830482056,9.878221025,,
Eastern,Fish (bonga),8/1/2018,8511,9.86271764,9.90688703,9.890959402,,
